Feature,Importance
carb_intake,0.11791849084878032
glycemic_load,0.07943498882479702
fat_carb_ratio,0.06671262845539207
glucose_risk_index,0.060817052367742666
carb_fiber_ratio,0.053425865849801225
protein_carb_ratio,0.052602319224872754
meal_risk_score,0.04728849442702921
sugar_carb_ratio,0.0421846981060442
insulin_dose,0.03596846405023404
physical_activity,0.03209537261253821
glycemic_index,0.030378810856414515
activity_bmi_ratio,0.029547955738915284
sleep_stress_score,0.026965144128321836
fiber_intake,0.026848707903187368
portion_size,0.02626008737714728
fat_intake,0.026222343193288488
patient_id,0.026132540115014546
sleep_hours,0.025767194006972666
bmi,0.025623741596362506
water_intake,0.025611061062667428
protein_intake,0.025518960205145748
sugar_intake,0.02527516514038676
pre_meal_glucose,0.024468715312193336
age,0.022558909203297013
stress_level,0.01665956881583691
diabetes_type_Type 2,0.004404401274369186
gender_Male,0.004081056274116873
smoking_status_Yes,0.0034024159547094346
alcohol_consumption_Yes,0.0033938869263941424
meal_time_Snack,0.003287030410318182
meal_time_Dinner,0.0031576285817260653
meal_time_Lunch,0.0031575843519709964
medication_adherence,0.0028287168040116513
